,galex_objid,sdss_objid,ra,dec,u,g,r,i,z,nuv_mag,fuv_mag,classs
337,3129511496341529084,1237665226776183092,205.38999967081799,30.750813854161,22.165775299072298,21.795110702514602,21.600160598754897,21.5501651763916,21.515621185302702,23.2720775604248,23.752820968627898,QSO
338,3129511496341531858,1237665330396790939,205.23805613065602,30.9240837371246,20.316829681396502,18.5234355926514,17.739128112793,17.3309764862061,17.0645599365234,22.050111770629897,23.158433914184602,GALAXY
353,3150446197734376315,1237667252942471449,186.089613993695,29.038045669000503,21.2361946105957,20.6337261199951,20.506267547607397,20.150043487548803,19.984899520874,21.734766006469698,22.593433380127,QSO
372,3150516566478558496,1237667253480587774,189.346676181801,29.388687391712303,24.1039257049561,21.8692188262939,20.6233310699463,19.4323577880859,18.5261344909668,23.1595268249512,23.1538410186768,STAR
394,3150586935222735522,1237665440440909909,191.91745067125999,28.6181709834691,20.2868728637695,18.2266025543213,16.886211395263697,16.4090309143066,16.0505771636963,23.0242576599121,23.822925567627,GALAXY
395,3150586935222736818,1237665440440779329,191.471237381812,28.693953655785197,22.0533428192139,22.216455459594698,20.8881778717041,19.7150783538818,20.079746246337898,22.9305858612061,23.858915328979503,GALAXY
396,3150586935222737463,1237665440440909873,191.8365742958,28.737409334347703,20.4857501983643,19.902416229248,19.8593864440918,19.824642181396502,19.6861934661865,23.342937469482397,23.683790206909197,QSO
397,3150586935222737463,1237665440440909873,191.8365742958,28.737409334347703,20.4857501983643,19.902416229248,19.8593864440918,19.824642181396502,19.6861934661865,23.342937469482397,23.683790206909197,QSO
419,3150692488339001534,1237665440980074645,197.803562905692,28.5949493096772,20.260211944580103,18.8851108551025,17.7387599945068,17.2697219848633,16.9245109558105,21.245426177978498,21.7834968566895,GALAXY
420,3150692488339001534,1237665440980074645,197.803562905692,28.5949493096772,20.260211944580103,18.8851108551025,17.7387599945068,17.2697219848633,16.9245109558105,21.245426177978498,21.7834968566895,GALAXY
425,3150727672711092902,1237665441516945781,197.92017411215,29.0870981984691,23.0811824798584,21.6083717346191,20.1418361663818,19.3844318389893,18.794691085815398,22.3532657623291,23.9540615081787,GALAXY
437,2489296661813135631,1237665440975159625,184.990434535698,29.339553980598303,21.738393783569304,21.1335391998291,19.886196136474602,19.421718597412102,18.904125213623,21.847684860229503,23.538076400756804,GALAXY
444,2489507768045676079,1237665126933725203,186.016922946553,33.910114199323694,17.857141494751,15.790009498596199,14.8827838897705,14.4619312286377,14.1651220321655,20.7552547454834,22.5159378051758,GALAXY
488,2490879958557140258,1237662193455202713,192.382214031099,41.2677423514269,22.4718589782715,20.8500080108643,19.2221832275391,18.36252784729,17.9076747894287,23.2618789672852,23.6364250183105,GALAXY
